Entity,Code,Day,Cases
Philippines,PHL,2021-01-01,13.748661
Philippines,PHL,2021-01-02,13.748661
Philippines,PHL,2021-01-03,11.029766
Philippines,PHL,2021-01-04,11.029766
Philippines,PHL,2021-01-05,11.029766
Philippines,PHL,2021-01-06,11.029766
Philippines,PHL,2021-01-07,11.029766
Philippines,PHL,2021-01-08,11.029766
Philippines,PHL,2021-01-09,11.029766
Philippines,PHL,2021-01-10,12.387333
Philippines,PHL,2021-01-11,12.387333
Philippines,PHL,2021-01-12,12.387333
Philippines,PHL,2021-01-13,12.387333
Philippines,PHL,2021-01-14,12.387333
Philippines,PHL,2021-01-15,12.387333
Philippines,PHL,2021-01-16,12.387333
Philippines,PHL,2021-01-17,16.156683
Philippines,PHL,2021-01-18,16.156683
Philippines,PHL,2021-01-19,16.156683
Philippines,PHL,2021-01-20,16.156683
Philippines,PHL,2021-01-21,16.156683
Philippines,PHL,2021-01-22,16.156683
Philippines,PHL,2021-01-23,16.156683
Philippines,PHL,2021-01-24,16.353487
Philippines,PHL,2021-01-25,16.353487
Philippines,PHL,2021-01-26,16.353487
Philippines,PHL,2021-01-27,16.353487
Philippines,PHL,2021-01-28,16.353487
Philippines,PHL,2021-01-29,16.353487
Philippines,PHL,2021-01-30,16.353487
Philippines,PHL,2021-01-31,15.036032
Philippines,PHL,2021-02-01,15.036032
Philippines,PHL,2021-02-02,15.036032
Philippines,PHL,2021-02-03,15.036032
Philippines,PHL,2021-02-04,15.036032
Philippines,PHL,2021-02-05,15.036032
Philippines,PHL,2021-02-06,15.036032
Philippines,PHL,2021-02-07,14.65496
Philippines,PHL,2021-02-08,14.65496
Philippines,PHL,2021-02-09,14.65496
Philippines,PHL,2021-02-10,14.65496
Philippines,PHL,2021-02-11,14.65496
Philippines,PHL,2021-02-12,14.65496
Philippines,PHL,2021-02-13,14.65496
Philippines,PHL,2021-02-14,14.879341
Philippines,PHL,2021-02-15,14.879341
Philippines,PHL,2021-02-16,14.879341
Philippines,PHL,2021-02-17,14.879341
Philippines,PHL,2021-02-18,14.879341
Philippines,PHL,2021-02-19,14.879341
Philippines,PHL,2021-02-20,14.879341
Philippines,PHL,2021-02-21,15.0335245
Philippines,PHL,2021-02-22,15.0335245
Philippines,PHL,2021-02-23,15.0335245
Philippines,PHL,2021-02-24,15.0335245
Philippines,PHL,2021-02-25,15.0335245
Philippines,PHL,2021-02-26,15.0335245
Philippines,PHL,2021-02-27,15.0335245
Philippines,PHL,2021-02-28,19.023495
Philippines,PHL,2021-03-01,19.023495
Philippines,PHL,2021-03-02,19.023495
Philippines,PHL,2021-03-03,19.023495
Philippines,PHL,2021-03-04,19.023495
Philippines,PHL,2021-03-05,19.023495
Philippines,PHL,2021-03-06,19.023495
Philippines,PHL,2021-03-07,22.64242
Philippines,PHL,2021-03-08,22.64242
Philippines,PHL,2021-03-09,22.64242
Philippines,PHL,2021-03-10,22.64242
Philippines,PHL,2021-03-11,22.64242
Philippines,PHL,2021-03-12,22.64242
Philippines,PHL,2021-03-13,22.64242
Philippines,PHL,2021-03-14,33.947964
Philippines,PHL,2021-03-15,33.947964
Philippines,PHL,2021-03-16,33.947964
Philippines,PHL,2021-03-17,33.947964
Philippines,PHL,2021-03-18,33.947964
Philippines,PHL,2021-03-19,33.947964
Philippines,PHL,2021-03-20,33.947964
Philippines,PHL,2021-03-21,53.004047
Philippines,PHL,2021-03-22,53.004047
Philippines,PHL,2021-03-23,53.004047
Philippines,PHL,2021-03-24,53.004047
Philippines,PHL,2021-03-25,53.004047
Philippines,PHL,2021-03-26,53.004047
Philippines,PHL,2021-03-27,53.004047
Philippines,PHL,2021-03-28,72.83607
Philippines,PHL,2021-03-29,72.83607
Philippines,PHL,2021-03-30,72.83607
Philippines,PHL,2021-03-31,72.83607
Philippines,PHL,2021-04-01,72.83607
Philippines,PHL,2021-04-02,72.83607
Philippines,PHL,2021-04-03,72.83607
Philippines,PHL,2021-04-04,91.71415
Philippines,PHL,2021-04-05,91.71415
Philippines,PHL,2021-04-06,91.71415
Philippines,PHL,2021-04-07,91.71415
Philippines,PHL,2021-04-08,91.71415
Philippines,PHL,2021-04-09,91.71415
Philippines,PHL,2021-04-10,91.71415
Philippines,PHL,2021-04-11,87.50105
Philippines,PHL,2021-04-12,87.50105
Philippines,PHL,2021-04-13,87.50105
Philippines,PHL,2021-04-14,87.50105
Philippines,PHL,2021-04-15,87.50105
Philippines,PHL,2021-04-16,87.50105
Philippines,PHL,2021-04-17,87.50105
Philippines,PHL,2021-04-18,89.33872
Philippines,PHL,2021-04-19,89.33872
Philippines,PHL,2021-04-20,89.33872
Philippines,PHL,2021-04-21,89.33872
Philippines,PHL,2021-04-22,89.33872
Philippines,PHL,2021-04-23,89.33872
Philippines,PHL,2021-04-24,89.33872
Philippines,PHL,2021-04-25,76.94387
Philippines,PHL,2021-04-26,76.94387
Philippines,PHL,2021-04-27,76.94387
Philippines,PHL,2021-04-28,76.94387
Philippines,PHL,2021-04-29,76.94387
Philippines,PHL,2021-04-30,76.94387
Philippines,PHL,2021-05-01,76.94387
Philippines,PHL,2021-05-02,72.04133
Philippines,PHL,2021-05-03,72.04133
Philippines,PHL,2021-05-04,72.04133
Philippines,PHL,2021-05-05,72.04133
Philippines,PHL,2021-05-06,72.04133
Philippines,PHL,2021-05-07,72.04133
Philippines,PHL,2021-05-08,72.04133
Philippines,PHL,2021-05-09,58.928207
Philippines,PHL,2021-05-10,58.928207
Philippines,PHL,2021-05-11,58.928207
Philippines,PHL,2021-05-12,58.928207
Philippines,PHL,2021-05-13,58.928207
Philippines,PHL,2021-05-14,58.928207
Philippines,PHL,2021-05-15,58.928207
Philippines,PHL,2021-05-16,52.605427
Philippines,PHL,2021-05-17,52.605427
Philippines,PHL,2021-05-18,52.605427
Philippines,PHL,2021-05-19,52.605427
Philippines,PHL,2021-05-20,52.605427
Philippines,PHL,2021-05-21,52.605427
Philippines,PHL,2021-05-22,52.605427
Philippines,PHL,2021-05-23,44.932602
Philippines,PHL,2021-05-24,44.932602
Philippines,PHL,2021-05-25,44.932602
Philippines,PHL,2021-05-26,44.932602
Philippines,PHL,2021-05-27,44.932602
Philippines,PHL,2021-05-28,44.932602
Philippines,PHL,2021-05-29,44.932602
Philippines,PHL,2021-05-30,54.936985
Philippines,PHL,2021-05-31,54.936985
Philippines,PHL,2021-06-01,54.936985
Philippines,PHL,2021-06-02,54.936985
Philippines,PHL,2021-06-03,54.936985
Philippines,PHL,2021-06-04,54.936985
Philippines,PHL,2021-06-05,54.936985
Philippines,PHL,2021-06-06,57.47161
Philippines,PHL,2021-06-07,57.47161
Philippines,PHL,2021-06-08,57.47161
Philippines,PHL,2021-06-09,57.47161
Philippines,PHL,2021-06-10,57.47161
Philippines,PHL,2021-06-11,57.47161
Philippines,PHL,2021-06-12,57.47161
Philippines,PHL,2021-06-13,57.86522
Philippines,PHL,2021-06-14,57.86522
Philippines,PHL,2021-06-15,57.86522
Philippines,PHL,2021-06-16,57.86522
Philippines,PHL,2021-06-17,57.86522
Philippines,PHL,2021-06-18,57.86522
Philippines,PHL,2021-06-19,57.86522
Philippines,PHL,2021-06-20,54.3566
Philippines,PHL,2021-06-21,54.3566
Philippines,PHL,2021-06-22,54.3566
Philippines,PHL,2021-06-23,54.3566
Philippines,PHL,2021-06-24,54.3566
Philippines,PHL,2021-06-25,54.3566
Philippines,PHL,2021-06-26,54.3566
Philippines,PHL,2021-06-27,48.87995
Philippines,PHL,2021-06-28,48.87995
Philippines,PHL,2021-06-29,48.87995
Philippines,PHL,2021-06-30,48.87995
Philippines,PHL,2021-07-01,48.87995
Philippines,PHL,2021-07-02,48.87995
Philippines,PHL,2021-07-03,48.87995
Philippines,PHL,2021-07-04,48.09775
Philippines,PHL,2021-07-05,48.09775
Philippines,PHL,2021-07-06,48.09775
Philippines,PHL,2021-07-07,48.09775
Philippines,PHL,2021-07-08,48.09775
Philippines,PHL,2021-07-09,48.09775
Philippines,PHL,2021-07-10,48.09775
Philippines,PHL,2021-07-11,45.764942
Philippines,PHL,2021-07-12,45.764942
Philippines,PHL,2021-07-13,45.764942
Philippines,PHL,2021-07-14,45.764942
Philippines,PHL,2021-07-15,45.764942
Philippines,PHL,2021-07-16,45.764942
Philippines,PHL,2021-07-17,45.764942
Philippines,PHL,2021-07-18,43.725456
Philippines,PHL,2021-07-19,43.725456
Philippines,PHL,2021-07-20,43.725456
Philippines,PHL,2021-07-21,43.725456
Philippines,PHL,2021-07-22,43.725456
Philippines,PHL,2021-07-23,43.725456
Philippines,PHL,2021-07-24,43.725456
Philippines,PHL,2021-07-25,51.378227
Philippines,PHL,2021-07-26,51.378227
Philippines,PHL,2021-07-27,51.378227
Philippines,PHL,2021-07-28,51.378227
Philippines,PHL,2021-07-29,51.378227
Philippines,PHL,2021-07-30,51.378227
Philippines,PHL,2021-07-31,51.378227
Philippines,PHL,2021-08-01,61.250988
Philippines,PHL,2021-08-02,61.250988
Philippines,PHL,2021-08-03,61.250988
Philippines,PHL,2021-08-04,61.250988
Philippines,PHL,2021-08-05,61.250988
Philippines,PHL,2021-08-06,61.250988
Philippines,PHL,2021-08-07,61.250988
Philippines,PHL,2021-08-08,76.73954
Philippines,PHL,2021-08-09,76.73954
Philippines,PHL,2021-08-10,76.73954
Philippines,PHL,2021-08-11,76.73954
Philippines,PHL,2021-08-12,76.73954
Philippines,PHL,2021-08-13,76.73954
Philippines,PHL,2021-08-14,76.73954
Philippines,PHL,2021-08-15,103.31803
Philippines,PHL,2021-08-16,103.31803
Philippines,PHL,2021-08-17,103.31803
Philippines,PHL,2021-08-18,103.31803
Philippines,PHL,2021-08-19,103.31803
Philippines,PHL,2021-08-20,103.31803
Philippines,PHL,2021-08-21,103.31803
Philippines,PHL,2021-08-22,122.943214
Philippines,PHL,2021-08-23,122.943214
Philippines,PHL,2021-08-24,122.943214
Philippines,PHL,2021-08-25,122.943214
Philippines,PHL,2021-08-26,122.943214
Philippines,PHL,2021-08-27,122.943214
Philippines,PHL,2021-08-28,122.943214
Philippines,PHL,2021-08-29,143.55618
Philippines,PHL,2021-08-30,143.55618
Philippines,PHL,2021-08-31,143.55618
Philippines,PHL,2021-09-01,143.55618
Philippines,PHL,2021-09-02,143.55618
Philippines,PHL,2021-09-03,143.55618
Philippines,PHL,2021-09-04,143.55618
Philippines,PHL,2021-09-05,159.29794
Philippines,PHL,2021-09-06,159.29794
Philippines,PHL,2021-09-07,159.29794
Philippines,PHL,2021-09-08,159.29794
Philippines,PHL,2021-09-09,159.29794
Philippines,PHL,2021-09-10,159.29794
Philippines,PHL,2021-09-11,159.29794
Philippines,PHL,2021-09-12,183.52858
Philippines,PHL,2021-09-13,183.52858
Philippines,PHL,2021-09-14,183.52858
Philippines,PHL,2021-09-15,183.52858
Philippines,PHL,2021-09-16,183.52858
Philippines,PHL,2021-09-17,183.52858
Philippines,PHL,2021-09-18,183.52858
Philippines,PHL,2021-09-19,174.68246
Philippines,PHL,2021-09-20,174.68246
Philippines,PHL,2021-09-21,174.68246
Philippines,PHL,2021-09-22,174.68246
Philippines,PHL,2021-09-23,174.68246
Philippines,PHL,2021-09-24,174.68246
Philippines,PHL,2021-09-25,174.68246
Philippines,PHL,2021-09-26,155.58751
Philippines,PHL,2021-09-27,155.58751
Philippines,PHL,2021-09-28,155.58751
Philippines,PHL,2021-09-29,155.58751
Philippines,PHL,2021-09-30,155.58751
Philippines,PHL,2021-10-01,155.58751
Philippines,PHL,2021-10-02,155.58751
Philippines,PHL,2021-10-03,128.47752
Philippines,PHL,2021-10-04,128.47752
Philippines,PHL,2021-10-05,128.47752
Philippines,PHL,2021-10-06,128.47752
Philippines,PHL,2021-10-07,128.47752
Philippines,PHL,2021-10-08,128.47752
Philippines,PHL,2021-10-09,128.47752
Philippines,PHL,2021-10-10,91.79563
Philippines,PHL,2021-10-11,91.79563
Philippines,PHL,2021-10-12,91.79563
Philippines,PHL,2021-10-13,91.79563
Philippines,PHL,2021-10-14,91.79563
Philippines,PHL,2021-10-15,91.79563
Philippines,PHL,2021-10-16,91.79563
Philippines,PHL,2021-10-17,67.465965
Philippines,PHL,2021-10-18,67.465965
Philippines,PHL,2021-10-19,67.465965
Philippines,PHL,2021-10-20,67.465965
Philippines,PHL,2021-10-21,67.465965
Philippines,PHL,2021-10-22,67.465965
Philippines,PHL,2021-10-23,67.465965
Philippines,PHL,2021-10-24,45.827618
Philippines,PHL,2021-10-25,45.827618
Philippines,PHL,2021-10-26,45.827618
Philippines,PHL,2021-10-27,45.827618
Philippines,PHL,2021-10-28,45.827618
Philippines,PHL,2021-10-29,45.827618
Philippines,PHL,2021-10-30,45.827618
Philippines,PHL,2021-10-31,38.052002
Philippines,PHL,2021-11-01,38.052002
Philippines,PHL,2021-11-02,38.052002
Philippines,PHL,2021-11-03,38.052002
Philippines,PHL,2021-11-04,38.052002
Philippines,PHL,2021-11-05,38.052002
Philippines,PHL,2021-11-06,38.052002
Philippines,PHL,2021-11-07,19.99247
Philippines,PHL,2021-11-08,19.99247
Philippines,PHL,2021-11-09,19.99247
Philippines,PHL,2021-11-10,19.99247
Philippines,PHL,2021-11-11,19.99247
Philippines,PHL,2021-11-12,19.99247
Philippines,PHL,2021-11-13,19.99247
Philippines,PHL,2021-11-14,17.244741
Philippines,PHL,2021-11-15,17.244741
Philippines,PHL,2021-11-16,17.244741
Philippines,PHL,2021-11-17,17.244741
Philippines,PHL,2021-11-18,17.244741
Philippines,PHL,2021-11-19,17.244741
Philippines,PHL,2021-11-20,17.244741
Philippines,PHL,2021-11-21,11.16264
Philippines,PHL,2021-11-22,11.16264
Philippines,PHL,2021-11-23,11.16264
Philippines,PHL,2021-11-24,11.16264
Philippines,PHL,2021-11-25,11.16264
Philippines,PHL,2021-11-26,11.16264
Philippines,PHL,2021-11-27,11.16264
Philippines,PHL,2021-11-28,7.321839
Philippines,PHL,2021-11-29,7.321839
Philippines,PHL,2021-11-30,7.321839
Philippines,PHL,2021-12-01,7.321839
Philippines,PHL,2021-12-02,7.321839
Philippines,PHL,2021-12-03,7.321839
Philippines,PHL,2021-12-04,7.321839
Philippines,PHL,2021-12-05,3.6364758
Philippines,PHL,2021-12-06,3.6364758
Philippines,PHL,2021-12-07,3.6364758
Philippines,PHL,2021-12-08,3.6364758
Philippines,PHL,2021-12-09,3.6364758
Philippines,PHL,2021-12-10,3.6364758
Philippines,PHL,2021-12-11,3.6364758
Philippines,PHL,2021-12-12,2.2964578
Philippines,PHL,2021-12-13,2.2964578
Philippines,PHL,2021-12-14,2.2964578
Philippines,PHL,2021-12-15,2.2964578
Philippines,PHL,2021-12-16,2.2964578
Philippines,PHL,2021-12-17,2.2964578
Philippines,PHL,2021-12-18,2.2964578
Philippines,PHL,2021-12-19,1.2773418
Philippines,PHL,2021-12-20,1.2773418
Philippines,PHL,2021-12-21,1.2773418
Philippines,PHL,2021-12-22,1.2773418
Philippines,PHL,2021-12-23,1.2773418
Philippines,PHL,2021-12-24,1.2773418
Philippines,PHL,2021-12-25,1.2773418
Philippines,PHL,2021-12-26,1.2685672
Philippines,PHL,2021-12-27,1.2685672
Philippines,PHL,2021-12-28,1.2685672
Philippines,PHL,2021-12-29,1.2685672
Philippines,PHL,2021-12-30,1.2685672
Philippines,PHL,2021-12-31,1.2685672
Philippines,PHL,2022-01-01,1.2685672
Philippines,PHL,2022-01-02,16.622993
Philippines,PHL,2022-01-03,16.622993
Philippines,PHL,2022-01-04,16.622993
Philippines,PHL,2022-01-05,16.622993
Philippines,PHL,2022-01-06,16.622993
Philippines,PHL,2022-01-07,16.622993
Philippines,PHL,2022-01-08,16.622993
Philippines,PHL,2022-01-09,142.43303
Philippines,PHL,2022-01-10,142.43303
Philippines,PHL,2022-01-11,142.43303
Philippines,PHL,2022-01-12,142.43303
Philippines,PHL,2022-01-13,142.43303
Philippines,PHL,2022-01-14,142.43303
Philippines,PHL,2022-01-15,142.43303
Philippines,PHL,2022-01-16,300.77454
Philippines,PHL,2022-01-17,300.77454
Philippines,PHL,2022-01-18,300.77454
Philippines,PHL,2022-01-19,300.77454
Philippines,PHL,2022-01-20,300.77454
Philippines,PHL,2022-01-21,300.77454
Philippines,PHL,2022-01-22,300.77454
Philippines,PHL,2022-01-23,265.51413
Philippines,PHL,2022-01-24,265.51413
Philippines,PHL,2022-01-25,265.51413
Philippines,PHL,2022-01-26,265.51413
Philippines,PHL,2022-01-27,265.51413
Philippines,PHL,2022-01-28,265.51413
Philippines,PHL,2022-01-29,265.51413
Philippines,PHL,2022-01-30,161.12558
Philippines,PHL,2022-01-31,161.12558
Philippines,PHL,2022-02-01,161.12558
Philippines,PHL,2022-02-02,161.12558
Philippines,PHL,2022-02-03,161.12558
Philippines,PHL,2022-02-04,161.12558
Philippines,PHL,2022-02-05,161.12558
Philippines,PHL,2022-02-06,80.09523
Philippines,PHL,2022-02-07,80.09523
Philippines,PHL,2022-02-08,80.09523
Philippines,PHL,2022-02-09,80.09523
Philippines,PHL,2022-02-10,80.09523
Philippines,PHL,2022-02-11,80.09523
Philippines,PHL,2022-02-12,80.09523
Philippines,PHL,2022-02-13,34.6725
Philippines,PHL,2022-02-14,34.6725
Philippines,PHL,2022-02-15,34.6725
Philippines,PHL,2022-02-16,34.6725
Philippines,PHL,2022-02-17,34.6725
Philippines,PHL,2022-02-18,34.6725
Philippines,PHL,2022-02-19,34.6725
Philippines,PHL,2022-02-20,18.661226
Philippines,PHL,2022-02-21,18.661226
Philippines,PHL,2022-02-22,18.661226
Philippines,PHL,2022-02-23,18.661226
Philippines,PHL,2022-02-24,18.661226
Philippines,PHL,2022-02-25,18.661226
Philippines,PHL,2022-02-26,18.661226
Philippines,PHL,2022-02-27,11.215287
Philippines,PHL,2022-02-28,11.215287
Philippines,PHL,2022-03-01,11.215287
Philippines,PHL,2022-03-02,11.215287
Philippines,PHL,2022-03-03,11.215287
Philippines,PHL,2022-03-04,11.215287
Philippines,PHL,2022-03-05,11.215287
Philippines,PHL,2022-03-06,8.134123
Philippines,PHL,2022-03-07,8.134123
Philippines,PHL,2022-03-08,8.134123
Philippines,PHL,2022-03-09,8.134123
Philippines,PHL,2022-03-10,8.134123
Philippines,PHL,2022-03-11,8.134123
Philippines,PHL,2022-03-12,8.134123
Philippines,PHL,2022-03-13,4.016294
Philippines,PHL,2022-03-14,4.016294
Philippines,PHL,2022-03-15,4.016294
Philippines,PHL,2022-03-16,4.016294
Philippines,PHL,2022-03-17,4.016294
Philippines,PHL,2022-03-18,4.016294
Philippines,PHL,2022-03-19,4.016294
Philippines,PHL,2022-03-20,4.437478
Philippines,PHL,2022-03-21,4.437478
Philippines,PHL,2022-03-22,4.437478
Philippines,PHL,2022-03-23,4.437478
Philippines,PHL,2022-03-24,4.437478
